adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Россия, Санкт-Петербург, Гжатская улица, 22к4",29.0,5/16,746,4400000,0,24,2012,60.01365,30.388281
"Россия, Санкт-Петербург, проспект Юрия Гагарина, 28к4",53.0,8/12,2801,5560000,3,,,59.854571,30.344776
"Россия, Санкт-Петербург, проспект Королёва, 59к4",51.5,11/24,2934,6400000,2,10,2016,60.029112,30.248791
"Россия, Санкт-Петербург, посёлок Парголово, Парашютная улица",39.0,19/19,3044,4690000,1,19,2014,60.063464,30.211843
"Россия, Санкт-Петербург, улица Политрука Пасечника, 10",83.0,4/4,5721,4750000,3,4,1954,59.779748,30.10701
"Россия, Санкт-Петербург, Ленинский проспект, 74к1",35.0,11/18,5030,4300000,1,18,2010,59.860861,30.184993
"Россия, Санкт-Петербург, Пушкин, Оранжерейная улица, 51А",62.6,1/5,828,6590000,3,5,1983,59.724437,30.416533
"Россия, Санкт-Петербург, улица Пестеля, 19",110.0,4/5,4531,17000000,4,5,1839,59.942584,30.345899
"Россия, Санкт-Петербург, Среднерогатская улица, 20",23.4,8/18,1588,3300000,0,18,2019,59.820282,30.3382
"Россия, Санкт-Петербург, Пушкин, Красносельское шоссе, 48/60",47.5,4/5,648,5000000,1,5,2003,59.704106,30.373827
"Россия, Санкт-Петербург, Петровская набережная, 4",100.0,3/8,969,35000000,3,8,1967,59.953759,30.330394
"Россия, Санкт-Петербург, посёлок Парголово, улица Михаила Дудина, 25к2",36.6,17/27,6282,4300000,0,26,2011,60.071708,30.329765
"Россия, Санкт-Петербург, Военная улица, 18к2",84.3,5/12,492,13750000,3,12,2016,59.918309,30.369866
"Россия, Санкт-Петербург, улица Маршала Захарова, 12к1",98.0,4/12,1906,8990000,3,14,2010,59.859352,30.159148
"Россия, Санкт-Петербург, улица Невзоровой, 12",42.5,4/5,1376,4990000,2,5,1969,59.889918,30.416938
"Россия, Санкт-Петербург, проспект Энгельса, 93",145.0,10/24,6000,17400000,4,25,2005,60.024913,30.32177
"Россия, Санкт-Петербург, Басков переулок, 2",153.0,5/9,3424,36585640,3,10,2018,59.939767,30.353184
"Россия, Санкт-Петербург, Звенигородская улица, 2/44",231.2,4/5,4708,25000000,5,,,59.92309,30.336017
"Россия, Санкт-Петербург, Варшавская улица, 19к5",55.0,8/8,5323,9988000,2,20,2009,59.873735,30.310505
"Россия, Санкт-Петербург, Колпино, бульвар Трудящихся, 21",64.0,1/9,8749,4850000,3,9,1971,59.73458,30.574286
"Россия, Санкт-Петербург, улица Зайцева, 22/13",56.7,3/5,2450,6410000,2,5,1959,59.877064,30.271339
"Россия, Санкт-Петербург, Лыжный переулок, 2",110.0,4/25,355,16990000,3,25,2012,59.99638,30.201333
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Вилеровский переулок, 6",24.0,14/24,5258,2800000,0,25,2015,59.811609,30.364045
"Россия, Санкт-Петербург, Исполкомская улица, 17",166.0,9/9,3184,28500000,3,10,2018,59.9303,30.38352
"Россия, Санкт-Петербург, Фермское шоссе, 12И",85.0,5/14,5149,17300000,3,10,2015,60.013942,30.309885
"Россия, Санкт-Петербург, проспект Просвещения, 15",112.5,24/25,1476,11915000,3,29,2017,60.053952,30.327196
"Россия, Санкт-Петербург, Дрезденская улица, 4",46.5,1/5,9464,5650000,2,5,1956,60.013195,30.326028
"Россия, Санкт-Петербург, Богатырский проспект, 63",43.0,4/16,4907,5575000,1,17,2010,60.008698,30.202132
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Московское шоссе, 9",69.9,12/15,5632,15375000,2,15,2017,59.8023,30.398675
"Россия, Санкт-Петербург, проспект Просвещения, 15",118.0,15/21,3521,10500000,3,29,2017,60.053952,30.327196
"Россия, Санкт-Петербург, проспект Ударников, 30к1",51.0,5/12,2139,4460000,2,,,59.952065,30.472301
"Россия, Санкт-Петербург, Варшавская улица, 63к1",110.0,14/18,2681,13990000,4,7,1992,59.849153,30.314116
"Россия, Санкт-Петербург, Таврическая улица, 15",128.0,4/5,8,31900000,3,5,1916,59.94371,30.378355
"Россия, Санкт-Петербург, улица Сикейроса, 11к1",120.0,12/17,111,18000000,3,17,2005,60.034465,30.329406
"Россия, Санкт-Петербург, проспект Александровской Фермы, 8",33.3,22/25,7867,5400000,1,26,2017,59.861706,30.452502
"Россия, Санкт-Петербург, Шуваловский проспект, 63Б",64.2,7/11,2026,10600000,2,11,2008,60.023947,30.222821
"Россия, Санкт-Петербург, Русановская улица, 11",64.0,14/24,184,6700000,2,23,2013,59.863513,30.505943
"Россия, Санкт-Петербург, улица Жени Егоровой, 3к1",32.0,9/9,1804,3550000,1,15,1982,60.062696,30.30772
