adress,area,floor,price,rooms,floors_total,year,latitude,longitude,district
"Россия, Самара, проспект Кирова", 40.0, 20/27, 2525260, 1, 27,,53.223959,50.256815, Промышленный
"Россия, Самара, Шариковый переулок, 2", 29.4, 5/5, 1600000, 1, 5,,53.236502,50.245478, Кировский
"Россия, Самара, Куйбышевский район, посёлок Совхоз Волгарь, Раздольная улица, 4", 34.0, 3/5, 1800000, 1, 5,,53.157067,50.081796, Волжский район
"Россия, Самара, Московское шоссе", 43.0, 9/26, 2230800, 1, 26,,53.253034,50.225715, Октябрьский
"Россия, Самара, улица Александра Матросова, 21", 22.0, 1/5, 1560000, 1, 5,,53.215321,50.239585, Советский
"Россия, Самарская область, Северное шоссе", 31.0, 4/9, 1344600, 1, 9,,53.298878,50.3194, Красноглинский
"Россия, Самара, проспект Карла Маркса, 200", 42.0, 23/24, 2700000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самара, Советская улица, 91", 36.48, 6/25, 1630000, 1, 25,,53.236103,50.258979, Советский
"Россия, Самара, Октябрьский район, 3-й проезд, 50", 32.41, 14/19, 1710000, 1, 19,,53.204255,50.180539, Октябрьский
"Россия, Самара, Аэродромная улица, 102", 38.0, 2/16, 1728900, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, улица Клары Цеткин, 23", 43.0, 9/17, 3000000, 1, 17,,53.227015,50.153643, Ленинский
"Россия, Самара, улица Георгия Димитрова, 74Ак1", 49.0, 9/16, 2462500, 1, 16,,53.251622,50.230889, Промышленный
"Россия, Самара, улица Победы, 135", 32.4, 1/5, 1750000, 1, 5,,53.223883,50.274475, Кировский
"Россия, Самара, Владимирская улица", 48.0, 12/20, 2379930, 1, 20,,53.193402,50.139459, Железнодорожный
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 22", 34.0, 2/3, 1800000, 1, 3,,53.317478,50.309662, Красноглинский
"Россия, Самара, Солнечная улица, 36Б", 38.0, 15/16, 2750000, 1, 16,,53.255727,50.202332, Промышленный
"Россия, Самара, проспект Кирова, 329", 35.0, 8/9, 2300000, 1, 9,,53.250351,50.229838, Кировский
"Россия, Самара, проспект Карла Маркса, 200", 42.0, 20/24, 2750000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, Губернаторская улица, 35", 38.0, 3/9, 1800000, 1, 9,,53.093878,50.164863, Волжский район
"Россия, Самара, улица Стара Загора, 209", 32.9, 9/9, 1800000, 1, 9,,53.244882,50.240869, Кировский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Подстепновская улица", 34.94, 10/16, 1628710, 1, 16,,53.111082,50.145935, Волжский район
"Россия, Самара, улица Советской Армии, 93А", 40.0, 17/24, 1819000, 1, 24,,53.205976,50.214127, Советский
"Россия, Самара, Волжское шоссе, 121", 41.0, 2/16, 1880000, 1, 16,,53.277082,50.264109, Кировский
"Россия, Самара, переулок Штамповщиков, 1", 30.0, 4/5, 1700000, 1, 5,,53.215019,50.25138, Промышленный
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица 8 Марта", 43.09, 4/4, 1551240, 1, 4,,53.348451,50.208728, Красноглинский
"Россия, Самара, проспект Кирова, 220", 33.0, 5/5, 1700000, 1, 5,,53.241417,50.229973, Промышленный
