price_per_m,latitude,longitude
118.3,59.979529,30.373477
105.6,59.901242,30.494265
120.1,59.83706,30.27141
143.2,59.983252,30.390743
123.3,59.859361,30.19182
190.3,59.945968,30.378364
140.5,59.913722,30.328669
141.5,59.858552,30.332487
146.1,59.902298,30.320899
93.0,59.874905,30.380717
119.5,59.989832,30.29933
124.4,59.909856,30.455727
109.0,59.981217,30.389988
116.5,60.05105,30.425148
139.0,60.030564,30.293213
94.0,59.839542,30.384401
110.0,59.994171,30.431868
213.0,59.95521,30.303382
112.5,59.922282,30.337005
115.8,59.914191,30.337167
101.0,60.028923,30.145727
170.9,59.954773,30.214808
626.5,59.977539,30.282244
110.5,59.892613,30.453777
163.0,59.925344,30.372273
95.0,59.86837,30.25958
102.0,59.862772,30.443995
92.0,60.06311,30.289655
67.0,59.749715,30.583898
106.0,60.060725,30.288443
173.0,60.013024,30.318428
217.7,59.879353,30.315266
104.0,60.056674,30.429334
84.3,60.041148,30.343204
105.0,59.845785,30.226863
111.5,59.957372,30.48644
128.0,59.868546,30.263029
104.0,59.956719,30.411143
117.2,60.035526,30.238739
110.5,60.074074,30.329496
113.7,60.073759,30.338317
99.3,59.843584,30.435497
108.0,60.044028,30.347839
133.0,60.011914,30.279567
288.3,59.943061,30.3655
352.0,59.931576,30.347552
140.0,60.014796,30.278175
94.5,59.839095,30.507613
259.0,59.965512,30.281346
114.0,59.983882,30.276495
164.0,59.836025,30.354379
84.0,59.742447,30.566606
132.7,59.824593,30.337419
