area,floor,price,rooms,floors_total,year,latitude,longitude
76.4,6,7950000,2,9,1998,59.875741000000005,30.460496999999997
87.7,1,11200000,3,16,2011,60.008697999999995,30.202132000000002
104.6,1,10300000,3,25,2015,60.028096,30.335784000000004
45.2,8,4150000,2,9,0,59.83675699999999,30.174473
79.0,9,10340000,2,23,2005,60.025565,30.322884000000002
44.5,8,5100000,2,9,1965,59.93046700000001,30.424446999999997
38.0,16,4900000,1,27,2018,60.075986,30.343797
60.0,4,5150000,2,18,2014,60.032578,30.449376
41.0,15,6289000,1,17,2011,59.997009999999996,30.208088
34.7,20,4100000,1,22,2015,60.054711,30.425795
32.7,1,3100000,1,5,1971,59.788723,30.147344
71.3,3,16300000,2,6,0,59.872236,30.319703999999998
64.0,8,5800000,3,9,0,60.029036,30.42858
96.0,2,12000000,2,4,1854,59.916442,30.292135
60.0,4,7480000,1,5,1896,59.917312,30.292735999999998
79.6,7,8500000,3,25,2012,60.073167000000005,30.332010999999998
96.0,2,18595000,3,7,2013,59.926278,30.366839000000002
100.0,10,13700000,3,11,0,60.022553,30.314539
68.2,4,7500000,3,4,1900,59.912558,30.346402
68.0,10,5200000,2,12,2018,60.055111,30.440159
38.4,15,4000000,1,16,2016,59.979326,30.512482000000002
37.8,15,5140000,1,16,2017,59.978818000000004,30.370144
105.0,9,17500000,3,24,2011,59.853812,30.349698999999998
42.0,9,6400000,1,18,2011,59.940366000000004,30.223467
46.8,5,5500000,2,9,0,60.009737,30.393006
36.1,8,4300000,1,12,1969,60.011014,30.407649
15.0,1,1340000,1,5,1961,59.870267000000005,30.446807
69.0,4,10800000,2,4,1875,59.966138,30.281686999999998
237.0,3,31900000,5,6,1914,59.94368299999999,30.360164
57.0,1,5400000,3,3,0,59.908629000000005,30.504577
43.9,9,5100000,1,24,2010,60.031206999999995,30.243419
64.8,2,10800000,3,5,1908,59.955448,30.302474
78.0,1,11900000,3,3,1898,59.926999,30.33352
78.6,4,13400000,4,5,1889,59.94248,30.343788
16.0,1,1980000,0,9,1987,60.012624,30.247721999999996
48.2,5,4999000,2,12,0,59.858973,30.222506
108.8,6,21700000,3,6,0,59.942046999999995,30.377349
97.0,1,10100000,3,5,1908,59.916613,30.326584999999998
60.0,1,7250000,2,6,1849,59.921547,30.310667
43.0,5,4200000,1,15,2009,59.843584,30.435496999999998
52.9,4,6250000,2,16,1982,59.954232,30.474223
78.9,2,7000000,3,5,2014,60.031409,30.147668
60.0,1,4690000,3,5,1932,59.878988,30.435146000000003
71.0,14,8500000,2,14,2010,59.85260600000001,30.288407
313.0,4,30000000,5,4,0,59.941276,30.287778000000003
