area,floor,price,rooms,floors_total,year,latitude,longitude
30.0,1,1670000,1,5,1970,53.247129,50.234132
32.0,4,1690000,1,5,1968,53.243061,50.247212
47.0,2,2750000,2,9,1993,53.207038,50.223882
73.0,9,4450000,3,9,1982,53.196024,50.168312
70.3,7,3000000,2,10,1995,53.147088000000004,50.05879
34.5,2,1590000,1,3,2014,53.327493000000004,50.315439000000005
44.0,16,2244510,1,27,0,53.215768999999995,50.261701
65.0,2,2200000,2,4,1956,53.112449,50.076568
60.0,8,3400000,3,9,1979,53.258798,50.231707
48.2,8,3500000,1,18,2016,53.186339000000004,50.134868
63.5,2,2900000,3,5,1972,53.249429000000006,50.255494
63.0,5,3200000,3,5,1966,53.230455000000006,50.217738
100.0,3,7300000,2,9,2015,53.201364,50.123424
47.0,1,2599000,2,5,1974,53.231246999999996,50.254389
47.3,13,2650000,1,19,2017,53.195294999999994,50.152053
46.0,3,2150000,2,3,2012,53.31606800000001,50.310588
30.1,5,1550000,1,5,1973,53.226789000000004,50.292639
52.0,5,2600000,2,5,1966,53.208138,50.23053
39.0,1,1930000,1,10,0,53.306503,50.286809000000005
