price,longitude,latitude,rooms,area,floor,floors_total,year
5100000,50.19527100000001,53.19690799999999,2,72.0,2,10,0
14700000,50.081499,53.18520600000001,3,140.5,4,9,0
17500000,50.10178300000001,53.195538,3,145.0,12,18,0
3450000,50.240411,53.208732,2,62.0,5,5,0
5400000,50.174277,53.224266,2,85.0,4,9,0
18500000,50.135308,53.215553,3,111.0,20,25,0
13700000,50.117387,53.202686,3,130.0,6,17,0
4899000,50.164953,53.21146,2,73.0,17,17,0
5500000,50.166426,53.218125,2,69.9,20,24,0
12500000,50.108449,53.194416,3,155.0,6,8,0
3735970,50.160991,53.223932,2,71.0,13,26,0
10900000,50.153454,53.222039,3,110.0,11,18,0
3550000,50.209994,53.21130400000001,2,54.8,4,6,0
12000000,50.117387,53.202686,3,107.0,7,18,0
10500000,50.105682,53.184521,3,145.0,3,9,0
12000000,50.149933,53.22461600000001,3,134.0,4,9,0
11990000,50.116623,53.200285,3,118.0,2,7,0
18470000,50.126738,53.212539,3,111.0,20,25,0
12900000,50.10178300000001,53.195538,3,125.0,3,8,0
16500000,50.134536,53.214906000000006,3,150.0,6,18,0
10500000,50.103993,53.18584300000001,3,128.0,2,6,0
12500000,50.12175300000001,53.203128,3,125.0,13,13,0
12500000,50.087958,53.192204,3,130.0,7,12,0
10500000,50.10178300000001,53.195538,3,113.0,5,5,0
12400000,50.087958,53.192204,3,134.0,8,11,0
10100000,50.10178300000001,53.195538,3,115.0,9,10,0
11500000,50.08308,53.18751500000001,3,127.2,7,9,0
10100000,50.07928,53.183204,3,122.0,4,9,0
14000000,50.083844,53.189528,3,122.0,5,5,0
10900000,50.154029,53.223587,3,135.9,13,14,0
10500000,50.10178300000001,53.195538,3,170.0,16,16,0
15400000,50.134536,53.214906000000006,3,150.0,11,18,0
14250000,50.10178300000001,53.195538,3,190.0,3,5,0
10000000,50.116623,53.200285,3,150.0,7,7,0
13950000,50.083682,53.188141,3,157.0,3,9,0
12000000,50.1815,53.237116,3,120.0,24,25,0
10500000,50.103993,53.18584300000001,3,130.0,2,5,0
14000000,50.11232,53.19495600000001,3,109.2,15,17,0
12300000,50.088677,53.192992,3,117.0,8,9,0
11700000,50.153454,53.222039,3,110.0,8,22,0
13500000,50.08043,53.187089,3,118.1,6,10,0
11950000,50.103149,53.200102,3,115.0,4,22,0
10900000,50.117387,53.202686,3,90.8,12,12,0
