adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Дыбенко ул, 114, Советский, Самара, Самарская область",56.6,6/12,3699000,2,12,1994,53.20748,50.216902
"Самарская область,Самара,Ленинский район,Карла Маркса проспект,30, Ленинский, Самара, Самарская область",33.3,7/12,2200000,1,12.0,1979.0,53.199735,50.151855
"Россия, Самарская область, Самара, 6-я просека, 137, Промышленный, Самара, Самарская область",97.0,12/16,5650000,3,14,2004,53.247328,50.188641
"Самара, улица Георгия Димитрова, 110Б, Промышленный, Самара, Самарская область",73.0,6/17,4990000,2,17.0,2014.0,53.262278,50.222786
"Самара, Солнечная улица, 34, Промышленный, Самара, Самарская область",60.0,15/16,5600000,2,17.0,2013.0,53.254074,50.201712
"Самара, Крейсерная улица, 1А, Советский, Самара, Самарская область",53.7,2/10,2850000,2,10.0,2002.0,53.182497,50.208377
"Россия, Самарская область, Самара, Георгия Димитрова ул, 35, Кировский, Самара, Самарская область",30.0,1/5,1900000,1,5.0,1970.0,53.253513,50.237402
"Самара, Клиническая улица, 20, Ленинский, Самара, Самарская область",44.0,6/9,2780000,2,9,1977,53.200787,50.137896
"Россия, Самарская область, Самара, ул. Ленинская, д. 204, Ленинский, Самара, Самарская область",213.0,3/7,20500000,4,9,2002,53.197556,50.112329
"посёлок Соцгород, Самара, улица Игоря Егорова, 28, Куйбышевский, Самара, Самарская область",54.0,7/10,1800000,2,10.0,1995.0,53.112649,50.085191
"Самара, Революционная улица, 148, Железнодорожный, Самара, Самарская область",38.0,12/16,2500000,1,9,1971,53.194114,50.181051
"Самара, улица Карбышева, 71, Советский, Самара, Самарская область",46.0,3/19,2750000,1,18,2010,53.209282,50.207802
"Самарская область,Самара,Куйбышевский район,Белорусская улица,135, Куйбышевский, Самара, Самарская область",76.5,9/10,3200000,2,10.0,2011.0,53.142049,50.040294
"Самара, Межевая улица, 1, Октябрьский, Самара, Самарская область",50.2,4/9,3750000,1,,1.0,53.224153,50.150202
"ул Николая Панова, 28, Октябрьский, Самара, Самарская область",46.0,8/10,2980000,1,10.0,1989.0,53.214426,50.157721
"Самара, Воронежская улица, 214, Промышленный, Самара, Самарская область",41.1,1/9,2200000,2,9.0,1968.0,53.24105,50.222238
"Енисейская улица, 57, Кировский, Самара, Самарская область",50.8,11/12,2649000,1,11,2001,53.239396,50.276407
"Самара, улица Волгина, 142, Железнодорожный, Самара, Самарская область",42.8,1/5,2400000,2,5.0,1963.0,53.19618,50.183332
"Самара, улица Лукачева, 36А, Октябрьский, Самара, Самарская область",55.0,4/5,2700000,2,5,None,53.21406,50.170433
"Самара, улица 22 Партсъезда, 52, Советский, Самара, Самарская область",42.7,8/9,1800000,2,9.0,1987.0,53.214469,50.222957
"Самара, Республиканская улица, 67, Кировский, Самара, Самарская область",55.0,4/4,2900000,3,4,1960,53.237143,50.27647
"Самара, Аэродромная улица, 123, Советский, Самара, Самарская область",45.0,3/5,2190000,2,5.0,1964.0,53.1916,50.209312
"Самарская область,Самара,Советский район,Партизанская улица,216, Советский, Самара, Самарская область",58.0,1/5,2650000,3,5.0,1964.0,53.188816,50.205413
"Самара, Демократическая улица, 2Б, Промышленный, Самара, Самарская область",80.0,11/20,5700000,2,20.0,2007.0,53.261437,50.213641
"Самарская область,Самара,Промышленный район,Вольская улица,59, Промышленный, Самара, Самарская область",29.3,5/5,1650000,1,5,1979,53.216443,50.239342
"Самара, Некрасовская улица, 70, Самарский, Самара, Самарская область",47.0,2/2,1400000,3,2.0,1.0,53.188087,50.100544
