area,floor,floors_total,latitude,longitude,price,rooms,year
48.0,6,10,59.83150799999999,30.513803000000006,5500000,1,0
41.6,5,17,59.939095,30.315868,4500000,1,0
38.7,3,7,60.058475,30.275965000000006,5950000,1,0
58.0,4,9,59.937238,30.487509000000006,5200000,3,0
29.8,1,5,59.825253,30.161295000000006,2800000,1,0
95.4,5,5,60.028784,30.142529,9990000,3,0
73.3,5,5,60.008527,30.354684,8990000,3,0
60.0,2,5,59.96510600000001,30.297426,11490000,2,0
98.0,13,15,59.91544,30.435084000000003,8200000,3,0
56.7,5,5,59.884663,30.271967,6599000,2,0
62.0,5,5,59.869621,29.85868,5700000,2,0
300.0,6,6,59.93552,30.370028,45000000,7,0
76.0,15,19,60.035351,30.225614,12360000,3,0
35.0,3,9,59.838109,30.17936,3600000,1,0
40.0,3,4,59.916591,30.298297,7700000,2,0
36.0,14,15,59.913144,30.449996,4999000,1,0
59.8,2,5,59.930313,30.245925,12000000,2,0
303.0,4,7,59.944215,30.350372,27900000,7,0
76.0,2,4,59.951497,30.415258,8500000,3,0
35.3,1,19,60.04241500000001,30.224716,4290000,1,0
25.4,10,12,59.838249,30.114439,2800000,0,0
72.3,4,9,59.991592,30.427187,7600000,3,0
68.3,3,6,59.911796,30.310846999999995,7150000,3,0
52.4,2,16,59.944323,30.471402,4788000,2,0
46.0,10,17,59.851783,30.365626,5800000,1,0
24.2,7,11,60.04241500000001,30.224716,3375000,0,0
75.5,15,25,60.053952,30.327196,8510000,2,0
69.4,2,4,59.907722,30.343105,5200000,5,0
44.0,2,5,59.745948,30.610767,3100000,2,0
173.0,4,4,59.943192,30.343437,25000000,7,0
53.0,4,7,59.85886899999999,30.315688,8200000,2,0
41.6,1,5,59.958309,30.425651,3950000,2,0
168.7,2,7,59.97390600000001,30.260541,58000000,4,0
31.8,1,9,59.909508,30.241479,3490000,1,0
51.3,3,9,59.925615,30.484302000000003,5070000,2,0
65.2,5,5,59.96390400000001,30.302402,8900000,2,0
144.5,6,6,59.944152,30.357918,18500000,4,0
52.0,9,9,59.864674,30.385712,5500000,3,0
70.0,13,15,59.947433,30.491408000000003,6480000,3,0
52.0,4,10,59.860721,30.506841,5000000,2,0
105.3,3,18,60.065741,30.457281,7700000,3,0
46.5,2,14,59.982838,30.393312,5650000,1,0
33.0,13,15,59.916284,30.439548,4650000,1,0
133.3,3,18,59.951912,30.216667,16000000,4,0
107.6,8,15,59.98485,30.260029,16000000,3,0
59.0,4,5,59.984922,30.349052,6000000,2,0
24.0,9,12,59.841975,30.113127,3050000,0,0
52.8,10,10,59.865424,30.370764,7000000,2,0
42.0,10,19,59.977976,30.436638,4800000,1,0
58.0,4,9,59.947297,30.497067,5950000,3,0
62.6,8,18,60.008698,30.202132,8540000,2,0
74.2,4,10,59.92430699999999,30.459796,7300000,3,0
50.0,7,12,59.941213,30.488623,4895000,2,0
74.6,12,18,60.064358,30.457973,5500000,3,0
45.3,6,16,59.84276600000001,30.328903000000004,7550000,1,0
113.0,9,9,59.909847,30.349214,23000000,4,0
230.0,2,6,59.911448,30.308232,24000000,7,0
65.0,12,12,59.843042,30.170296,6900000,3,0
94.0,14,25,59.993847,30.309436,15050000,3,0
31.4,2,4,59.724437,30.416533,4000000,1,0
60.0,3,14,60.015597,30.411898,6600000,2,0
45.0,2,5,59.88767900000001,30.487132,4000000,2,0
111.5,2,5,59.939379,30.358565,15000000,3,0
29.0,5,16,60.01365,30.388281,4400000,0,0
23.4,8,18,59.82028199999999,30.3382,3300000,0,0
231.2,4,5,59.92309,30.336017,25000000,5,0
166.0,9,9,59.9303,30.38352,28500000,3,0
120.0,12,17,60.034465,30.329406,18000000,3,0
54.8,6,9,59.904302,30.47213,5000000,3,0
58.1,5,5,59.863549,30.343644,10000000,3,0
42.0,3,12,59.846459,30.425247,5400000,1,0
50.0,4,9,59.84998,30.200228000000006,4580000,2,0
43.6,4,25,60.053952,30.327196,4975000,2,0
55.0,4,8,59.913144,30.449996,7350000,2,0
130.0,15,16,59.841844,30.349366,11650000,3,0
83.0,8,26,60.07316700000001,30.332011,7800000,3,0
88.9,2,5,59.98377900000001,30.281094,13200000,2,0
41.0,20,20,60.05295,30.311862,5950000,1,0
64.0,2,12,60.07082800000001,30.321357,7800000,3,0
92.6,17,17,60.008698,30.202132,11790000,3,0
103.3,2,9,59.964962,30.49157,12500000,3,0
43.8,3,9,59.83909499999999,30.361512,5700000,2,0
41.2,7,9,59.851783,30.365626,4900000,2,0
63.0,9,10,59.934952,30.246078000000004,7400000,4,0
45.0,5,23,59.957354,30.343914,9000000,1,0
44.7,5,5,60.00868000000001,30.39633,4850000,2,0
110.0,9,10,59.96271899999999,30.267485,24500000,3,0
62.4,2,25,59.98611,30.373756,7700000,2,0
78.9,2,18,59.980258,30.391731,8400000,2,0
85.0,3,17,59.84814,30.41409,9990000,3,0
71.7,4,14,59.905181000000006,30.324187,11700000,2,0
73.0,2,5,59.924578,30.323333,8500000,2,0
35.7,4,21,59.987564,30.379882,4150000,1,0
76.0,6,12,59.84814,30.41409,9912346,3,0
55.5,3,9,59.734312,30.586468,4200000,2,0
60.0,9,9,60.05139200000001,30.353912,6100000,3,0
42.7,14,25,60.053952,30.327196,4820000,1,0
80.1,3,4,59.915544,30.358673,6800000,2,0
76.7,6,10,59.959233,30.27221,13844350,2,0
25.0,4,6,59.730352,30.09985,2600000,0,0
54.0,2,10,59.93264,30.246491,6950000,3,0
71.0,5,5,59.922237,30.35463,9000000,2,0
26.1,7,16,60.03218199999999,30.401343,3750000,0,0
34.0,8,18,59.859361,30.19182,4300000,1,0
41.8,2,20,60.05105,30.425148,4500000,1,0
76.7,2,10,59.959233,30.27221,13077500,1,0
88.3,6,7,59.86837,30.25958,8500000,3,0
89.6,8,12,59.918309,30.369866,14150000,3,0
79.2,2,26,60.074074,30.329496,9399000,3,0
92.0,16,16,59.83909499999999,30.507613,8800000,3,0
